time,x,y
0,0.44899,-7.3566
0.005,0.42711,-7.2462
0.01,0.45593,-7.2294
0.015,0.49051,-7.2752
0.02,0.46169,-7.2636
0.025,0.52549,-7.252
0.03,0.51934,-7.2641
0.035,0.53625,-7.3331
0.04,0.43745,-7.3565
0.045,0.42095,-7.281
0.05,0.50858,-7.1886
0.055,0.51203,-7.4374
0.06,0.42671,-7.264
0.065,0.4786,-7.3156
0.07,0.55855,-7.4371
0.075,0.48436,-7.3157
0.08,0.46668,-7.3503
0.085,0.381,-7.2231
0.09,0.41976,-7.3798
0.095,0.31761,-7.1657
0.1,0.44322,-7.3509
0.105,0.39749,-7.2815
0.11,0.43903,-7.1774
0.115,0.35835,-7.1426
0.12,0.2534,-7.2291
0.125,0.22994,-7.2467
0.13,0.37403,-7.3162
0.135,0.31022,-7.3391
0.14,0.26493,-7.2292
0.145,0.33864,-7.3855
0.15,0.36747,-7.4312
0.155,0.4786,-7.2929
0.16,0.34561,-7.2868
0.165,0.42134,-7.2405
0.17,0.34066,-7.1887
0.175,0.35098,-7.3046
0.18,0.29828,-7.3681
0.185,0.35218,-7.2115
0.19,0.3621,-7.3793
0.195,0.35258,-7.1539
0.2,0.37323,-7.4086
0.205,0.30941,-7.4428
0.21,0.27686,-7.2002
0.215,0.32215,-7.3043
0.22,0.31103,-7.2467
0.225,0.32711,-7.3968
0.23,0.41518,-7.2753
0.235,0.43706,-7.397
0.24,0.39789,-7.241
0.245,0.3625,-7.3161
0.25,0.3806,-7.2579
0.255,0.25299,-7.2583
0.26,0.31679,-7.2638
0.265,0.38556,-7.3504
0.27,1.2258,-7.2352
0.275,2.1056,-7.1138
0.28,2.643,-7.1253
0.285,2.7868,-7.356
0.29,3.0008,-7.27
0.295,3.4107,-7.4665
0.3,3.1798,-7.3565
0.305,3.2081,-7.5989
0.31,3.353,-7.4145
0.315,3.3993,-7.4486
0.32,3.4509,-7.5994
0.325,3.5784,-7.5179
0.33,3.5206,-7.4951
0.335,3.561,-7.5008
0.34,3.5263,-7.4951
0.345,3.4742,-7.5525
0.35,3.3818,-7.4834
0.355,3.5377,-7.645
0.36,3.445,-7.6861
0.365,3.5204,-7.5875
0.37,3.4452,-7.5759
0.375,3.457,-7.5006
